ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
285688854,2025-10-06 22:04:26+05:30,,2025-10-06 22:04:26+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,0,4,0,285688854,0,0,0.01,0.0,0.0,0.0,0.0,3930.57,0.0,XAUUSD.s,,
285712968,2025-10-06 22:53:19+05:30,,2025-10-06 22:53:19+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,0,4,0,285688854,0,0,0.01,0.0,0.0,0.0,0.0,3946.34,0.0,XAUUSD.s,,
285797533,2025-10-07 04:42:56+05:30,,2025-10-07 04:42:56+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,0,4,0,285797533,0,0,0.01,0.0,0.0,0.0,0.0,3959.84,0.0,XAUUSD.s,,
285799634,2025-10-07 05:12:15+05:30,,2025-10-07 05:12:15+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,0,4,234000,285799634,0,3,0.01,0.0,0.0,0.0,0.0,3959.57,0.0,XAUUSD.s,Test Buy Order,
285800096,2025-10-07 05:19:22+05:30,,2025-10-07 05:19:22+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,0,4,0,285799634,0,0,0.01,0.0,0.0,0.0,0.0,3960.39,0.0,XAUUSD.s,,
285800107,2025-10-07 05:19:24+05:30,,2025-10-07 05:19:24+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,0,4,0,285797533,0,0,0.01,0.0,0.0,0.0,0.0,3960.5,0.0,XAUUSD.s,,
285803043,2025-10-07 06:32:22+05:30,,2025-10-07 06:32:23+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,0,4,234000,285803043,0,3,0.01,0.0,0.0,0.0,0.0,3958.83,0.0,XAUUSD.s,GoldFlash Scalpe,
285803261,2025-10-07 06:35:24+05:30,,2025-10-07 06:35:24+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,0,4,234000,285803261,0,3,0.01,0.0,0.0,0.0,0.0,3961.38,0.0,XAUUSD.s,GoldFlash Scalpe,
285803409,2025-10-07 06:36:26+05:30,,2025-10-07 06:36:26+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,0,4,234000,285803409,0,3,0.01,0.0,0.0,0.0,0.0,3961.71,0.0,XAUUSD.s,GoldFlash Scalpe,
285803505,2025-10-07 06:37:27+05:30,,2025-10-07 06:37:28+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,0,4,234000,285803505,0,3,0.01,0.0,0.0,0.0,0.0,3961.93,0.0,XAUUSD.s,GoldFlash Scalpe,
285803673,2025-10-07 06:38:29+05:30,,2025-10-07 06:38:29+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,0,4,234000,285803673,0,3,0.01,0.0,0.0,0.0,0.0,3963.01,0.0,XAUUSD.s,GoldFlash Scalpe,
285804025,2025-10-07 06:39:31+05:30,,2025-10-07 06:39:31+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,0,4,234000,285804025,0,3,0.01,0.0,0.0,0.0,0.0,3966.2,0.0,XAUUSD.s,GoldFlash Scalpe,
285804212,2025-10-07 06:40:32+05:30,,2025-10-07 06:40:33+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,0,4,234000,285804212,0,3,0.01,0.0,0.0,0.0,0.0,3965.31,0.0,XAUUSD.s,GoldFlash Scalpe,
285804894,2025-10-07 06:41:34+05:30,,2025-10-07 06:41:34+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,0,4,234000,285804894,0,3,0.01,0.0,0.0,0.0,0.0,3969.02,0.0,XAUUSD.s,GoldFlash Scalpe,
285805645,2025-10-07 06:42:36+05:30,,2025-10-07 06:42:36+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,0,4,234000,285805645,0,3,0.01,0.0,0.0,0.0,0.0,3969.35,0.0,XAUUSD.s,GoldFlash Scalpe,
285805856,2025-10-07 06:43:37+05:30,,2025-10-07 06:43:37+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,0,4,234000,285805856,0,3,0.01,0.0,0.0,0.0,0.0,3968.11,0.0,XAUUSD.s,GoldFlash Scalpe,
285806282,2025-10-07 06:44:39+05:30,,2025-10-07 06:44:39+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,0,4,234000,285806282,0,3,0.01,0.0,0.0,0.0,0.0,3971.88,0.0,XAUUSD.s,GoldFlash Scalpe,
285806572,2025-10-07 06:45:40+05:30,,2025-10-07 06:45:41+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,0,4,234000,285806572,0,3,0.01,0.0,0.0,0.0,0.0,3971.57,0.0,XAUUSD.s,GoldFlash Scalpe,
285806739,2025-10-07 06:46:42+05:30,,2025-10-07 06:46:42+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,0,4,234000,285806739,0,3,0.01,0.0,0.0,0.0,0.0,3970.36,0.0,XAUUSD.s,GoldFlash Scalpe,
285806880,2025-10-07 06:47:44+05:30,,2025-10-07 06:47:44+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,0,4,234000,285806880,0,3,0.01,0.0,0.0,0.0,0.0,3972.71,0.0,XAUUSD.s,GoldFlash Scalpe,
285807083,2025-10-07 06:48:45+05:30,,2025-10-07 06:48:46+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,0,4,234000,285807083,0,3,0.01,0.0,0.0,0.0,0.0,3971.61,0.0,XAUUSD.s,GoldFlash Scalpe,
